Requirement_ID,Age_Group,Gender,Activity_Level,Calories_kcal,Protein_g,Carbohydrates_g,Fat_g,Fiber_g,Sugar_Max_g,Sodium_Max_mg,Potassium_mg,Calcium_mg,Iron_mg,Water_L,BMI_Target
1,13-17,Male,Sedentary,2200,55,300,70,30,25,2300,3000,1300,11,2.5,18.5-24.9
2,13-17,Male,Moderate,2500,60,340,75,32,25,2300,3200,1300,11,3,18.5-24.9
3,13-17,Male,Active,2800,70,380,80,35,25,2300,3400,1300,11,3.5,18.5-24.9
4,13-17,Female,Sedentary,1800,50,240,60,25,25,2300,2600,1300,15,2.2,18.5-24.9
5,13-17,Female,Moderate,2100,55,280,65,28,25,2300,2800,1300,15,2.7,18.5-24.9
6,13-17,Female,Active,2400,60,320,70,30,25,2300,3000,1300,15,3,18.5-24.9
7,18-30,Male,Sedentary,2400,60,330,75,30,25,2300,3400,1000,8,3,18.5-24.9
8,18-30,Male,Moderate,2700,70,370,80,35,25,2300,3500,1000,8,3.5,18.5-24.9
9,18-30,Male,Active,3000,80,410,90,38,25,2300,3600,1000,8,4,18.5-24.9
10,18-30,Female,Sedentary,1900,50,250,60,25,25,2300,2600,1000,18,2.7,18.5-24.9
11,18-30,Female,Moderate,2200,60,290,70,28,25,2300,2800,1000,18,3,18.5-24.9
12,18-30,Female,Active,2500,70,330,75,30,25,2300,3000,1000,18,3.5,18.5-24.9
13,31-50,Male,Sedentary,2200,60,300,70,30,25,2300,3400,1000,8,3,18.5-24.9
14,31-50,Male,Moderate,2500,70,340,80,34,25,2300,3500,1000,8,3.5,18.5-24.9
15,31-50,Male,Active,2800,80,380,85,38,25,2300,3600,1000,8,4,18.5-24.9
16,31-50,Female,Sedentary,1800,50,240,60,25,25,2300,2600,1000,18,2.7,18.5-24.9
17,31-50,Female,Moderate,2100,60,280,65,28,25,2300,2800,1000,18,3,18.5-24.9
18,31-50,Female,Active,2400,70,320,75,30,25,2300,3000,1000,18,3.5,18.5-24.9
19,51-70,Male,Sedentary,2000,60,270,65,30,25,2300,3400,1000,8,2.8,18.5-24.9
20,51-70,Male,Moderate,2300,65,310,70,32,25,2300,3400,1000,8,3.2,18.5-24.9
21,51-70,Male,Active,2600,75,350,75,35,25,2300,3400,1000,8,3.6,18.5-24.9
22,51-70,Female,Sedentary,1700,50,220,55,25,25,2300,2600,1200,8,2.5,18.5-24.9
23,51-70,Female,Moderate,1900,55,250,60,28,25,2300,2600,1200,8,2.8,18.5-24.9
24,51-70,Female,Active,2200,65,290,70,30,25,2300,2600,1200,8,3.2,18.5-24.9
25,71+,Male,Sedentary,1900,60,250,60,30,25,2300,3400,1200,8,2.5,18.5-24.9
26,71+,Male,Moderate,2100,65,280,65,32,25,2300,3400,1200,8,2.8,18.5-24.9
27,71+,Male,Active,2400,70,320,70,35,25,2300,3400,1200,8,3,18.5-24.9
28,71+,Female,Sedentary,1600,50,210,50,25,25,2300,2600,1200,8,2.2,18.5-24.9
29,71+,Female,Moderate,1800,55,240,55,28,25,2300,2600,1200,8,2.5,18.5-24.9
30,71+,Female,Active,2000,60,270,60,30,25,2300,2600,1200,8,2.8,18.5-24.9
31,Pregnancy,Female,Moderate,2400,75,320,75,30,25,2300,2900,1200,27,3.2,18.5-24.9
32,Pregnancy,Female,Active,2600,80,350,80,32,25,2300,3000,1200,27,3.5,18.5-24.9
33,Breastfeeding,Female,Sedentary,2500,75,340,80,30,25,2300,2800,1200,10,3.5,18.5-24.9
34,Breastfeeding,Female,Moderate,2700,80,370,85,32,25,2300,3000,1200,10,3.8,18.5-24.9
35,Breastfeeding,Female,Active,2900,85,400,90,35,25,2300,3200,1200,10,4,18.5-24.9
36,Pregnancy,Female,Sedentary,2200,70,300,70,28,25,2300,2800,1200,27,3,18.5-24.9
